
2023/12/06 (15:09:29) | ===> btop++ v.1.2.13
2023/12/06 (15:09:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/16 (00:01:17) | ===> btop++ v.1.2.13
2023/12/16 (00:01:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/16 (00:04:11) | ===> btop++ v.1.2.13
2023/12/16 (00:04:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/16 (00:05:09) | ===> btop++ v.1.2.13
2023/12/16 (00:05:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/12/16 (00:05:23) | ===> btop++ v.1.2.13
2023/12/16 (00:05:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/11 (13:50:08) | ===> btop++ v.1.2.13
2024/03/11 (13:50:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/12 (18:57:40) | ===> btop++ v.1.2.13
2024/03/12 (18:57:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/21 (13:49:35) | ===> btop++ v.1.2.13
2024/03/21 (13:49:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/25 (13:20:11) | ===> btop++ v.1.2.13
2024/03/25 (13:20:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2024/03/26 (09:11:56) | ERROR: failed getting network interfaces

2024/03/26 (23:38:46) | ===> btop++ v.1.2.13
2024/03/26 (23:38:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/26 (23:50:33) | ===> btop++ v.1.2.13
2024/03/26 (23:50:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
